Account,classification,total_trades,total_pnl,avg_pnl,win_rate,avg_trade_size_usd,total_volume_usd,avg_fee
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,fear,752,6358.689118,8.455703614361703,0.34441489361702127,557.0954654255319,418935.79,0.14760414678191489
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,greed,736,2803.279814,3.8088040951086954,0.32065217391304346,604.8524864130435,445171.43,0.15102939832880435
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,neutral,108,1580.539513,14.63462512037037,0.4444444444444444,474.46564814814815,51242.29,0.13431087601851852
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,extreme fear,15,0.0,0.0,0.0,33333.22933333334,499998.44,1.6666610000000002
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,fear,270,0.0,0.0,0.0,7339.048703703704,1981543.15,1.3795106222222222
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,greed,16,444.205198,27.762824875,0.625,37473.885625,599582.17,11.5533668125
0x4f93fead39b70a1824f981a54d4e55b278e9f760,extreme fear,59,3084.287743,52.276063440677966,0.4915254237288136,10455.908644067797,616898.61,3.4896481186440678
0x4f93fead39b70a1824f981a54d4e55b278e9f760,extreme greed,419,-78345.733765,-186.982658150358,0.2863961813842482,15044.925918854415,6303823.96,5.069511844868734
0x4f93fead39b70a1824f981a54d4e55b278e9f760,fear,501,66310.479538,132.35624658283433,0.405189620758483,17762.376447105788,8898950.6,5.715281666666667
0x4f93fead39b70a1824f981a54d4e55b278e9f760,greed,675,25833.953122,38.2725231437037,0.22666666666666666,13770.201792592594,9294886.21,4.496030922962963
0x4f93fead39b70a1824f981a54d4e55b278e9f760,neutral,152,21985.852853,144.64376876973685,0.5394736842105263,15414.379144736842,2342985.63,5.141701625
0x513b8629fe877bb581bf244e326a047b249c4ff1,extreme fear,49,0.0,0.0,0.0,2260.9597959183675,110787.03,0.3128071632653061
0x513b8629fe877bb581bf244e326a047b249c4ff1,extreme greed,89,0.0,0.0,0.0,3332.177640449438,296563.81,0.06097473898876404
0x513b8629fe877bb581bf244e326a047b249c4ff1,fear,42,0.0,0.0,0.0,1682.2211904761903,70653.29,0.04530505214285714
0x513b8629fe877bb581bf244e326a047b249c4ff1,greed,342,60544.304874,177.03013121052632,0.6900584795321637,22374.739152046783,7652160.79,5.075858497076023
0x6d6a4b953f202f8df5bed40692e7fd865318264a,extreme fear,3,0.0,0.0,0.0,249.86333333333332,749.5899999999999,0.007361693333333333
0x6d6a4b953f202f8df5bed40692e7fd865318264a,extreme greed,12,1060.851032,88.40425266666666,1.0,135.47333333333333,1625.68,0.04741525
